Nome,Descrizione,Scadenza,Disponibile Da...A,Pezzi per cartone,Formati,codice EAN,"VALORI NUTRIZIONALI MEDI 
per 100 g di prodotto:",umidità,allergeni,MARCHI,Categoria
Zuppa Ceciata,"La Zuppa Ceciata contiene ceci, ceci neri, cicerchie, piselli e adzuki rossi, questi prodotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. Questo prodotto ha un sapore intenso grazie al cece e alla cicerchia. Ricca di antiossidanti e vitamine. L'ingrediente principe di questa zuppa è il cece nero che conferisce all'insieme colore unicità. Questo prodotto è sano, gustoso e molto originale.
",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310122,"Energia 2932 KJ-690Kcal -
Grassi 5,2 g di cui acidi 
grassi saturi 0,7 g -
Carboidrati 80,1 g di cui
zuccheri 3,2 g - Fibre 29 g
-Proteine 38 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Può contenere


",zuppe e risotti
Zuppa Nonna Dina,"La Zuppa Nonna Dina contiene farro dicocco decorticato, lenticchie rosse decorticate e grano saraceno decorticato, 
questi prodotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.La combinazione del farro, 
del grano saraceno e delle lenticchie rosse regala un sapore intenso ma delicato.
 Questa zuppa è un ottimo prodotto gustato da solo ma può essere anche un'ottima base per diversi piatti. ",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310047,"Energia 1580 KJ-374 Kcal -
Grassi 2,2 g di cui acidi 
grassi saturi 0,6 g -
Carboidrati 75,1 g di cui
zuccheri 2,2 g - Fibre 16 g
-Proteine 21 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Grano Saraceno e Legumi,"La Zuppa Grano Saraceno e Legumi contiene favette decorticate, fagioli adzuki verdi, grano saraceno decorticato,
 piselli decorticati e lenticchie rosse decorticate, questi prodotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi.
 La ricetta di questa zuppa nasce dall'idea di proporre un prodotto senza cereali ma che fonde il gusto dei legumi 
con il grano saraceno e allo stesso tempo la praticità di un prodotto che non necessita di ammollo come le sole zuppe di legumi. 
Gusto bilanciato e ricco.",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310030,"Energia 1580 KJ-374 Kcal -
Grassi 2,2 g di cui acidi 
grassi saturi 0,6 g -
Carboidrati 75,1 g di cui
zuccheri 2,2 g - Fibre 16 g
-Proteine 21 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Cereali

Senza Ammollo",zuppe e risotti
Zuppa Matilde,"La Zuppa Matilde contiene farro enkir decorticato, orzo pelato, lenticchie, fagioli adzuki verdi, questi prodotti sono tutti coltivati nella nostra azienda 
in Appennino e lavorati direttamente da noi.Dal gusto rustico e delicato, questa zuppa offre un equilibrio perfetto tra la dolcezza delle lenticchie e dei fagioli adzuki e
 le note leggermente nocciolate del farro enkir e dell’orzo.Ideale per un pasto completo. 
Si prepara facilmente e si presta a molteplici varianti, perfetta per ogni occasione.",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310085,"Energia 1580 KJ-374 Kcal -
Grassi 2,2 g di cui acidi 
grassi saturi 0,6 g -
Carboidrati 75,1 g di cui
zuccheri 2,2 g - Fibre 16 g
-Proteine 21 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Nerona,"La Zuppa Nerona contiene ceci neri, fagioli borlotti, fagioli cannellini e piselli interi, questi prodotti sono tutti coltivati nella nostra azienda in Appennino e
 lavorati direttamente da noi. Dal sapore intenso e avvolgente, combina le note robuste dei ceci neri con la cremosità dei fagioli e la delicatezza dei piselli. 
Facile da preparare, è perfetta per chi desidera un pasto nutriente e completo. ",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310092,"Energia 2932 KJ-690 Kcal -
Grassi 5,2 g di cui acidi 
grassi saturi 0,7 g -
Carboidrati 80,1 g di cui
zuccheri 3,2 g - Fibre 29 g
-Proteine 38 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Cereali",zuppe e risotti
Zuppa Fagiolona,"La Zuppa Fagiolona contiene fagioli borlotti, cannellini, azuki rossi, dolico dall'occhio, diavoli rossi e giallorini, questi prodotti sono tutti coltivati nella
 nostra azienda in Appennino e lavorati direttamente da noi. Questa zuppa si distingue per il suo sapore pieno e variegato:
 la cremosità dei cannellini e dei borlotti si fonde con la dolcezza degli azuki rossi e la delicatezza del dolico dall’occhio, mentre i diavoli rossi e i
giallorini aggiungono un tocco deciso e vivace. Un equilibrio perfetto che esalta ogni ingrediente, solo per i veri amanti dei fagioli!",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310139,"Energia 2932 KJ-690 Kcal -
Grassi 5,2 g di cui acidi 
grassi saturi 0,7 g -
Carboidrati 80,1 g di cui
zuccheri 3,2 g - Fibre 29 g
-Proteine 38 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Cereali",zuppe e risotti
Zuppa Grastellina,"La Zuppa Grastellina contiene orzo perlato, farro dicocco decorticato, lenticchie rosse e lenticchie gialle decorticate, 
questi prodotti sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. La Zuppa Grastellina combina la consistenza 
morbida dell’orzo e del farro con la dolcezza delle lenticchie, creando un piatto armonioso. Questa zuppa è un’opzione perfetta per chi cerca 
un’alimentazione sana ed equilibrata senza rinunciare al gusto. ",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310023,"Energia 1580 KJ-374 Kcal -
Grassi 2,2 g di cui acidi 
grassi saturi 0,6 g -
Carboidrati 75,1 g di cui
zuccheri 2,2 g - Fibre 16 g
-Proteine 21 g - Sale 0,01",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Marolese,"La Zuppa Marolese contiene farro dicocco decorticato, lenticchie, favette decorticate, grano saraceno e fagioli adzuki verdi questi prodotti
 sono tutti coltivati nella nostra azienda in Appennino e lavorati direttamente da noi. Questa zuppa combina la consistenza rustica del farro e 
delle favette con la delicatezza delle lenticchie e il sapore caratteristico del grano saraceno. I fagioli adzuki verdi aggiungono una nota dolce e fresca, 
creando un equilibrio perfetto per un piatto nutriente. ",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310078,"Energia 2670 KJ-631Kcal -
Grassi 3,8 g di cui acidi 
grassi saturi 0,5 g -
Carboidrati 100 g di cui
zuccheri 4,7 g - Fibre 16 g
-Proteine 40 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Boiardo,"La Zuppa del Boiardo contiene orzo perlato, farro enkir decorticato, lenticchie rosse decorticate e piselli decorticati, questi prodotti sono tutti coltivati 
nella nostra azienda in Appennino e lavorati direttamente da noi. Il suo gusto è delicato e armonioso.
 La combinazione di sapori crea un equilibrio tra la rusticità degli antichi cereali e la freschezza dei legumi, rendendo ogni boccone avvolgente.
 Ideale per chi ama piatti semplici ma ricchi di carattere.",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310061,"Energia 1580 KJ-374 Kcal -
Grassi 2,2 g di cui acidi 
grassi saturi 0,6 g -
Carboidrati 75,1 g di cui
zuccheri 2,2 g - Fibre 16 g
-Proteine 21 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Ammollo",zuppe e risotti
Zuppa Legumi,"La Zuppa di Legumi contiene fagioli borlotti, fagioli cannellini, ceci e piselli interi, questi prodotti sono tutti coltivati nella nostra azienda in
 Appennino e lavorati direttamente da noi.I borlotti offrono note cremose, i cannellini aggiungono delicatezza e morbidezza, mentre i ceci apportano una consistenza 
ricca e un gusto dolce e vellutato. I piselli interi completano il mix con una freschezza naturale che dona leggerezza e armonia al piatto.
Con la Zuppa di Legumi, porti in tavola un piatto sano, gustoso e di qualità.",da 12 a 18 mesi,,12,400g/5Kg/25Kg,8058301310108,"Energia 2932 KJ-690Kcal -
Grassi 5,2 g di cui acidi 
grassi saturi 0,7 g -
Carboidrati 80,1 g di cui
zuccheri 3,2 g - Fibre 29 g
-Proteine 38 g - Sale 0,01g",Grado di umidità 14%,"Può contenere Glutine 
in quanto i macchinari utilizzati
lavorano anche cereali","Prodotto di Montagna

Senza Cereali",zuppe e risotti
